Date;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
01/01/2013;86.3153846153846;8.376923076923077
01/02/2013;87.15384615384616;8.592307692307692
01/03/2013;86.1;7.107692307692308
01/04/2013;88.13846153846154;9.36923076923077
01/05/2013;90.72307692307693;12.876923076923077
01/06/2013;87.13076923076923;8.784615384615385
01/07/2013;89.0076923076923;9.6
01/08/2013;92.01538461538462;13.392307692307693
01/09/2013;89.32307692307693;10.938461538461537
01/10/2013;86.5923076923077;8.26923076923077
01/11/2013;83.4076923076923;5.9692307692307685
01/12/2013;88.05384615384615;9.107692307692307
01/01/2014;87.70769230769231;10.223076923076924
01/02/2014;89.27692307692307;10.576923076923077
01/03/2014;90.33076923076922;11.600000000000001
01/04/2014;90.24615384615385;11.246153846153845
01/05/2014;91.16153846153846;12.73076923076923
01/06/2014;87.38333333333333;9.223076923076924
01/07/2014;87.52307692307691;8.6
01/08/2014;91.93846153846154;13.669230769230769
01/09/2014;89.44615384615385;12.23076923076923
01/10/2014;85.61538461538461;7.884615384615385
01/11/2014;86.30538461538461;8.292307692307691
01/12/2014;86.35384615384615;8.169230769230769
01/01/2015;88.97923076923077;10.569230769230769
01/02/2015;88.24461538461539;9.5
01/03/2015;89.40153846153846;12.338461538461539
01/04/2015;87.65384615384616;8.884615384615385
01/05/2015;89.47538461538463;11.76923076923077
01/06/2015;86.74307692307693;7.869230769230769
01/07/2015;87.91538461538462;8.607692307692307
01/08/2015;91.78615384615385;13.915384615384616
01/09/2015;87.79615384615384;9.015384615384615
01/10/2015;87.08615384615383;8.569230769230769
01/11/2015;85.48461538461538;7.3076923076923075
01/12/2015;89.02;10.761538461538462
01/01/2016;87.82307692307693;9.953846153846154
01/02/2016;88.85384615384615;10.86923076923077
01/03/2016;88.93846153846154;10.03076923076923
01/04/2016;90.1846153846154;11.953846153846154
01/05/2016;87.88461538461539;9.115384615384615
01/06/2016;86.98461538461538;8.053846153846154
01/07/2016;87.74615384615385;9.330769230769231
01/08/2016;89.92999999999999;10.084615384615384
01/09/2016;89.73846153846154;12.069230769230769
01/10/2016;88.72307692307693;10.884615384615385
01/11/2016;86.5076923076923;9.046153846153846
01/12/2016;84.41538461538462;7.800000000000001
01/01/2017;88.22692307692309;10.046153846153846
01/02/2017;89.20384615384616;10.646153846153847
01/03/2017;88.86923076923077;10.307692307692308
01/04/2017;89.08461538461538;10.569230769230767
01/05/2017;86.14230769230768;7.130769230769231
01/06/2017;85.50153846153846;7.461538461538462
01/07/2017;86.71153846153847;7.915384615384616
01/08/2017;92.56076923076922;15.276923076923076
01/09/2017;89.15384615384616;11.323076923076922
01/10/2017;86.88461538461539;7.984615384615385
01/11/2017;85.00923076923075;6.507692307692308
